A -- B -- C -- D -- E 
8 - 2 - 23 - 83 - 73
12 - 76 - 6 - 4 - 15
43 - 37 - 10 - 96 - 87
36 - 6 - 94 - 48 - 98
55 - 33 - 98 - 53 - 79
88 - 63 - 82 - 11 - 72
3 - 81 - 11 - 67 - 69
94 - 45 - 16 - 2 - 64
93 - 87 - 74 - 76 - 84
23 - 45 - 99 - 77 - 47
82 - 29 - 2 - 18 - 13
37 - 93 - 62 - 47 - 83
88 - 16 - 6 - 21 - 90
81 - 41 - 97 - 21 - 46
33 - 88 - 15 - 36 - 93
87 - 43 - 20 - 73 - 12
75 - 71 - 74 - 43 - 30
29 - 35 - 52 - 28 - 99
5 - 54 - 26 - 55 - 68
76 - 9 - 76 - 69 - 38
15 - 9 - 62 - 24 - 64
58 - 18 - 5 - 55 - 96
91 - 11 - 13 - 4 - 47
89 - 46 - 35 - 4 - 45
81 - 72 - 99 - 72 - 50
90 - 1 - 26 - 30 - 46
7 - 44 - 62 - 7 - 52
57 - 94 - 27 - 30 - 46
91 - 23 - 2 - 28 - 2
56 - 49 - 15 - 16 - 65
8 - 13 - 51 - 80 - 45
46 - 86 - 32 - 21 - 28
43 - 91 - 10 - 90 - 30
4 - 9 - 72 - 38 - 16
83 - 61 - 62 - 80 - 30
13 - 32 - 39 - 98 - 66
63 - 10 - 4 - 79 - 36
89 - 42 - 73 - 9 - 4
83 - 31 - 71 - 34 - 55
10 - 36 - 64 - 67 - 52
26 - 50 - 40 - 17 - 43
46 - 36 - 16 - 77 - 95
44 - 66 - 8 - 58 - 28
63 - 37 - 53 - 17 - 14
51 - 47 - 49 - 68 - 25
97 - 99 - 74 - 21 - 73
2 - 41 - 17 - 47 - 19
92 - 51 - 90 - 58 - 3
82 - 22 - 52 - 51 - 63
68 - 82 - 82 - 48 - 89
63 - 55 - 21 - 70 - 60
60 - 3 - 76 - 10 - 25
14 - 45 - 51 - 15 - 72
22 - 11 - 66 - 51 - 85
35 - 47 - 68 - 63 - 13
46 - 77 - 60 - 2 - 6
20 - 45 - 76 - 7 - 67
82 - 64 - 34 - 59 - 16
67 - 42 - 75 - 31 - 16
43 - 32 - 80 - 19 - 83
35 - 17 - 23 - 84 - 18
39 - 22 - 31 - 60 - 7
16 - 37 - 61 - 10 - 16
68 - 64 - 21 - 32 - 72
43 - 32 - 62 - 42 - 50
37 - 72 - 6 - 43 - 1
48 - 75 - 50 - 94 - 4
75 - 71 - 67 - 63 - 90
87 - 88 - 47 - 31 - 59
72 - 28 - 30 - 78 - 71
67 - 4 - 51 - 56 - 30
81 - 13 - 13 - 43 - 45
26 - 67 - 75 - 71 - 81
79 - 23 - 51 - 63 - 78
9 - 21 - 76 - 49 - 2
2 - 93 - 6 - 92 - 66
23 - 21 - 30 - 22 - 28
40 - 36 - 16 - 97 - 6
24 - 98 - 43 - 83 - 95
15 - 91 - 60 - 41 - 75
14 - 3 - 67 - 36 - 41
41 - 48 - 31 - 4 - 57
86 - 67 - 91 - 84 - 26
99 - 37 - 15 - 27 - 88
17 - 26 - 81 - 95 - 63
16 - 28 - 17 - 59 - 0
45 - 41 - 3 - 0 - 71
97 - 43 - 92 - 43 - 4
35 - 94 - 23 - 35 - 41
39 - 94 - 38 - 24 - 65
19 - 63 - 56 - 8 - 81
91 - 70 - 68 - 97 - 77
99 - 65 - 73 - 60 - 52
75 - 26 - 94 - 72 - 38
6 - 26 - 68 - 17 - 63
90 - 11 - 97 - 88 - 76
40 - 44 - 12 - 8 - 94
99 - 89 - 58 - 89 - 99
68 - 71 - 67 - 41 - 98
95 - 68 - 99 - 9 - 81
70 - 41 - 82 - 15 - 5
57 - 91 - 15 - 26 - 32
70 - 21 - 38 - 73 - 34
87 - 50 - 22 - 26 - 84
52 - 44 - 71 - 93 - 14
88 - 30 - 83 - 30 - 86
6 - 67 - 40 - 87 - 56
74 - 47 - 93 - 9 - 55
68 - 17 - 16 - 15 - 19
73 - 43 - 75 - 23 - 22
21 - 47 - 69 - 66 - 45
57 - 74 - 85 - 7 - 75
98 - 24 - 12 - 70 - 69
4 - 96 - 75 - 46 - 79
93 - 27 - 88 - 22 - 79
42 - 11 - 25 - 46 - 77
44 - 8 - 33 - 64 - 28
82 - 76 - 39 - 83 - 9
5 - 70 - 71 - 4 - 53
75 - 99 - 26 - 26 - 68
10 - 90 - 52 - 41 - 67
19 - 9 - 48 - 33 - 98
13 - 61 - 45 - 10 - 28
4 - 10 - 74 - 0 - 94
56 - 36 - 42 - 36 - 31
14 - 98 - 60 - 15 - 49
92 - 57 - 77 - 90 - 56
7 - 63 - 7 - 30 - 73
56 - 46 - 8 - 56 - 76
58 - 44 - 40 - 68 - 63
65 - 6 - 9 - 49 - 45
82 - 74 - 32 - 47 - 81
12 - 22 - 82 - 34 - 94
16 - 82 - 59 - 88 - 72
88 - 11 - 47 - 4 - 15
3 - 24 - 39 - 44 - 84
94 - 10 - 40 - 15 - 49
67 - 69 - 9 - 31 - 30
46 - 92 - 39 - 2 - 43
13 - 54 - 51 - 32 - 31
7 - 42 - 49 - 66 - 94
40 - 99 - 79 - 33 - 53
86 - 0 - 51 - 29 - 69
83 - 89 - 27 - 62 - 7
2 - 69 - 14 - 41 - 78
96 - 92 - 86 - 29 - 16
79 - 76 - 38 - 94 - 57
9 - 94 - 55 - 48 - 71
0 - 35 - 54 - 32 - 65
75 - 17 - 90 - 88 - 4
14 - 72 - 99 - 29 - 29
99 - 33 - 53 - 14 - 19
86 - 43 - 46 - 62 - 13
85 - 37 - 3 - 80 - 91
72 - 54 - 9 - 67 - 54
50 - 96 - 79 - 8 - 4
60 - 19 - 39 - 61 - 69
65 - 61 - 32 - 67 - 42
95 - 39 - 36 - 31 - 56
64 - 79 - 21 - 92 - 93
12 - 16 - 90 - 86 - 84
66 - 77 - 43 - 73 - 31
31 - 35 - 4 - 64 - 75
60 - 12 - 48 - 84 - 45
91 - 48 - 54 - 17 - 48
17 - 84 - 54 - 27 - 27
99 - 82 - 47 - 23 - 84
51 - 70 - 28 - 66 - 42
81 - 19 - 55 - 81 - 33
9 - 80 - 1 - 15 - 27
48 - 51 - 76 - 66 - 39
72 - 99 - 5 - 19 - 18
89 - 23 - 35 - 4 - 95
83 - 85 - 6 - 54 - 27
98 - 7 - 50 - 92 - 29
48 - 45 - 52 - 29 - 57
44 - 19 - 38 - 37 - 45
